iter	Passed	Remaining
0	142	14122
1	145	7112
2	147	4773
3	149	3594
4	152	2893
5	154	2417
6	156	2083
7	159	1829
8	161	1629
9	163	1470
10	165	1342
11	167	1230
12	170	1138
13	172	1058
14	174	991
15	177	929
16	179	877
17	181	829
18	183	782
19	184	739
20	186	700
21	187	665
22	189	634
23	191	606
24	193	580
25	195	555
26	196	532
27	198	511
28	200	490
29	202	471
30	203	453
31	206	437
32	207	421
33	209	406
34	211	392
35	212	378
36	214	364
37	215	352
38	217	340
39	218	328
40	220	317
41	221	305
42	223	296
43	225	286
44	227	277
45	228	268
46	230	259
47	232	251
48	234	243
49	235	235
50	237	228
51	239	221
52	241	213
53	243	207
54	244	199
55	246	193
56	248	187
57	250	181
58	251	175
59	253	169
60	255	163
61	257	157
62	259	152
63	261	146
64	262	141
65	264	136
66	266	131
67	268	126
68	270	121
69	271	116
70	273	111
71	275	107
72	277	102
73	279	98
74	281	93
75	283	89
76	284	85
77	286	80
78	288	76
79	289	72
80	290	68
81	292	64
82	293	60
83	295	56
84	296	52
85	297	48
86	299	44
87	300	40
88	301	37
89	302	33
90	304	30
91	305	26
92	306	23
93	307	19
94	308	16
95	309	12
96	310	9
97	311	6
98	312	3
99	313	0
